TIME;OV1(T)
79.7875;150.945
79.9;150.946
80.0025;150.946
80.1075;150.947
80.2175;150.947
80.3375;150.948
80.45;150.948
80.5525;150.949
80.6575;150.949
80.7675;150.95
80.8875;150.951
81;150.951
81.1025;150.952
81.2075;150.952
81.3175;150.953
81.4375;150.953
81.55;150.954
81.6525;150.954
81.7575;150.955
81.8675;150.955
81.9875;150.956
82.1;150.956
82.2025;150.956
82.3075;150.957
82.4175;150.957
82.5375;150.958
82.65;150.958
82.7525;150.959
82.8575;150.959
82.9675;150.96
83.0875;150.96
83.2;150.96
83.3025;150.961
83.4075;150.961
83.5175;150.962
83.6375;150.962
83.75;150.963
83.8525;150.963
83.9575;150.963
84.0675;150.964
84.1875;150.964
84.3;150.964
84.4025;150.965
84.5075;150.965
84.6175;150.966
84.7375;150.966
84.85;150.966
84.9525;150.967
85.0575;150.967
85.1675;150.967
85.2875;150.968
85.4;150.968
85.5025;150.968
85.6075;150.969
85.7175;150.969
85.8375;150.969
85.95;150.97
86.0525;150.97
86.1575;150.97
86.2675;150.971
86.3875;150.971
86.5;150.971
86.6025;150.972
86.7075;150.972
86.8175;150.972
86.9375;150.972
87.05;150.973
87.1525;150.973
87.2575;150.973
87.3675;150.974
87.4875;150.974
87.6;150.974
87.7025;150.974
87.8075;150.975
87.9175;150.975
88.0375;150.975
88.15;150.975
88.2525;150.976
88.3575;150.976
88.4675;150.976
88.5875;150.976
88.7;150.977
88.8025;150.977
88.9075;150.977
89.0175;150.977
89.1375;150.978
89.25;150.978
89.3525;150.978
89.4575;150.978
89.5675;150.978
89.6875;150.979
89.8;150.979
89.9025;150.979
90.0075;150.979
90.1175;150.98
90.2375;150.98
90.35;150.98
90.4525;150.98
90.5575;150.98
90.6675;150.981
90.7875;150.981
90.9;150.981
91.0025;150.981
91.1075;150.981
91.2175;150.982
91.3375;150.982
91.45;150.982
91.5525;150.982
91.6575;150.982
91.7675;150.982
91.8875;150.983
92;150.983
92.1025;150.983
92.2075;150.983
92.3175;150.983
92.4375;150.984
92.55;150.984
92.6525;150.984
92.7575;150.984
92.8675;150.984
92.9875;150.984
93.1;150.985
93.2025;150.985
93.3075;150.985
93.4175;150.985
93.5375;150.985
93.65;150.985
93.7525;150.985
93.8575;150.986
93.9675;150.986
94.0875;150.986
94.2;150.986
94.3025;150.986
94.4075;150.986
94.5175;150.986
94.6375;150.987
94.75;150.987
94.8525;150.987
94.9575;150.987
95.0675;150.987
95.1875;150.987
95.3;150.987
95.4025;150.987
95.5075;150.988
95.6175;150.988
95.7375;150.988
95.85;150.988
95.9525;150.988
96.0575;150.988
96.1675;150.988
96.2875;150.988
96.4;150.989
96.5025;150.989
96.6075;150.989
96.7175;150.989
96.8375;150.989
96.95;150.989
97.0525;150.989
97.1575;150.989
97.2675;150.989
97.3875;150.989
97.5;150.99
97.6025;150.99
97.7075;150.99
97.8175;150.99
97.9375;150.99
98.05;150.99
98.1525;150.99
98.2575;150.99
98.3675;150.99
98.4875;150.99
98.6;150.991
98.7025;150.991
98.8075;150.991
98.9175;150.991
99.0375;150.991
99.15;150.991
99.2525;150.991
99.3575;150.991
99.4675;150.991
99.5875;150.991
99.7;150.991
99.8025;150.991
99.9075;150.992
100;150.992
